Date,Time,EARLWOOD WDR 1h average [°],EARLWOOD TEMP 1h average [°C],EARLWOOD WSP 1h average [m/s],EARLWOOD NO 1h average [pphm],EARLWOOD NO2 1h average [pphm],EARLWOOD CO 1h average [ppm],EARLWOOD OZONE 1h average [pphm],EARLWOOD OZONE 4h rolling average [pphm],EARLWOOD PM10 1h average [µg/m³],EARLWOOD PM2.5 1h average [µg/m³],EARLWOOD HUMID 1h average [%],EARLWOOD SD1 1h average [°],EARLWOOD CO 8h rolling average [ppm]
01/01/2017,01:00,152.3,22.6,0.4,0,0.4,,2,2.1,23.6,7,87.2,49.01,
01/01/2017,02:00,134,22.6,0.3,,,,,2.2,21,6.6,87.2,46.56,
01/01/2017,03:00,132.2,22.6,0.3,0,0.6,,1.7,2,20,7.2,87,47.4,
01/01/2017,04:00,125.8,22.7,0.2,0,0.5,,1.7,1.8,21.4,7.1,87.2,53.7,
01/01/2017,05:00,107.9,22.8,0.6,0,0.3,,2.1,1.8,21.5,4.3,86.8,41.65,
01/01/2017,06:00,107.5,23,0.5,0,0.3,,2.1,1.9,23.5,8.6,85.7,40.73,
01/01/2017,07:00,107,23.6,0.5,0,0.3,,2.5,2.1,16.8,5.9,80.2,44.78,
01/01/2017,08:00,53.8,24.3,0.4,0,0.3,,3,2.4,16.5,8,74.9,62.95,
01/01/2017,09:00,67.4,24.6,0.4,0,0.5,,2.7,2.6,19.9,7.8,74.8,65.95,
01/01/2017,10:00,100.9,25.2,1,0,0.5,,2.7,2.7,20.3,6,73.5,46.92,
01/01/2017,11:00,54.9,25.8,1.3,0,0.2,,3.2,2.9,20.1,6.3,70.9,36.28,
01/01/2017,12:00,46.7,25.8,1.4,0,0.3,,3.3,3,19.4,7.5,70.8,31.79,
01/01/2017,13:00,27.4,26.2,1.6,0.1,0.4,,3.1,3.1,21.8,8.3,70.3,32.42,
01/01/2017,14:00,38.9,25.9,1.1,0,0.6,,2.9,3.1,20.8,8.9,70.8,30.8,
01/01/2017,15:00,79,25.4,0.9,0.1,0.6,,2.5,2.9,28.6,8.5,75.3,38,
01/01/2017,16:00,111.3,24.6,0.6,0.2,0.9,,2.1,2.7,24.1,9.3,82.3,44.05,
01/01/2017,17:00,117,24.3,0.6,0.3,1.4,,1.3,2.2,22,10,85.2,50.87,
01/01/2017,18:00,75.5,24,0.2,0.1,0.9,,1.9,1.9,19.3,7.7,84,68.34,
01/01/2017,19:00,33.3,23.6,0.9,0.4,1.9,,0.8,1.5,20.5,10,86.3,27.3,
01/01/2017,20:00,22.1,23.1,1.2,0.2,1.5,,1.4,1.3,16.9,11.1,85.8,26.59,
01/01/2017,21:00,350.8,22.8,0.9,0,0.6,,1.9,1.5,21.6,1.8,89.4,49.73,
01/01/2017,22:00,6.8,22.6,1,0,0.5,,1.8,1.5,14.6,1.5,91.3,41.18,
01/01/2017,23:00,335.4,22.6,0.6,0,0.5,,1.5,1.7,14.4,4.6,91.6,44.15,
01/01/2017,24:00,343.3,22.7,0.5,0.1,1,,1.2,1.6,12,8.3,90.9,42.43,
02/01/2017,01:00,357.7,23,1.3,0,0.6,,1.5,1.5,9.6,5.6,88.3,24.83,
02/01/2017,02:00,303.4,23.1,0.8,,,,,1.4,11.8,5.1,86.8,39.78,
02/01/2017,03:00,268.2,22.6,0.4,0,0.9,,0.9,1.2,14.1,1.6,91.1,63.16,
02/01/2017,04:00,179.8,22.1,1.5,0,0.4,,1.5,1.3,9.5,8,88.7,40.82,
02/01/2017,05:00,187.8,21.4,2.2,0,0.1,,2.1,1.5,16.9,0.4,86.6,37.57,
02/01/2017,06:00,192.6,21.3,3,0,0.1,,2.2,1.7,24,0.7,84.3,33.75,
02/01/2017,07:00,189.7,21.5,2.5,0,0.1,,2.3,2,30.7,6.8,81.4,35.4,
02/01/2017,08:00,197.7,21.8,2.9,0,0.1,,2.2,2.2,24.6,9.1,78.3,30.55,
02/01/2017,09:00,197.5,22.3,2.6,0,0.1,,2,2.2,21.5,6.8,75.1,36.35,
02/01/2017,10:00,186.3,23,1.8,0,0.2,,2,2.1,22.8,6.7,73,41.96,
02/01/2017,11:00,196,22.8,2,0.1,0.2,,1.9,2,22,6.2,72.5,41.81,
02/01/2017,12:00,172.1,23.4,1.6,0,0.2,,2,2,20.1,7.6,68.6,41.81,
02/01/2017,13:00,162.7,23.6,1.7,0.1,0.2,,2.1,2,22.5,11.6,68.9,42.68,
02/01/2017,14:00,153.1,24.2,1.5,0,0.1,,2.1,2,16.9,12.2,65.4,45.56,
02/01/2017,15:00,161.8,24.2,1.8,0.1,0.2,,2.1,2.1,21.4,8.7,65.5,39.77,
02/01/2017,16:00,142.5,24,1.5,0,0.1,,2.3,2.1,22,5.9,64.8,41.88,
02/01/2017,17:00,145.7,23.2,1.3,0,0.2,,2.1,2.1,21,4.4,67.7,43.87,
02/01/2017,18:00,146.7,22.2,1.2,0,0.2,,2.1,2.1,25.6,6.2,72.2,43.5,
02/01/2017,19:00,150.2,21.7,1.1,0,0.2,,2.2,2.2,23.2,8.2,72.9,45.43,
02/01/2017,20:00,164.4,20.7,1.1,0.1,0.4,,2,2.1,25.5,7.6,81.8,44.91,
02/01/2017,21:00,182.2,19.9,0.7,0.2,0.3,,1.6,2,15.3,11.2,85.5,59.28,
02/01/2017,22:00,187.9,20.7,0.6,0.1,0.3,,1.4,1.8,17.1,11.7,80.8,56.29,
02/01/2017,23:00,208.4,20.6,1.4,0,0.2,,1.4,1.6,19.7,6.4,82,26.1,
02/01/2017,24:00,232.1,19.9,0.9,0,0.3,,1.2,1.4,15.5,8.6,86.3,34.94,
03/01/2017,01:00,221.9,19.9,1.3,0,0.4,,1.1,1.3,15,5.5,84.2,23.51,
03/01/2017,02:00,209.2,19.3,1,,,,,1.2,15.8,5.3,88.5,46.38,
03/01/2017,03:00,219,19.2,1.3,0,0.4,,0.8,1,11,2.7,87.4,26.72,
03/01/2017,04:00,214.9,19.2,1.3,0,0.3,,1,1,11.6,4.9,84.1,26.24,
03/01/2017,05:00,209.3,19.3,1.4,0,0.4,,0.9,0.9,11.7,6.2,80.1,30.57,
03/01/2017,06:00,206.7,19.3,1.9,0.1,0.4,,0.9,0.9,14,3.3,78.1,28.73,
03/01/2017,07:00,199.2,20.1,1.9,0.3,0.5,,1,0.9,15.5,2.8,74.3,34.1,
03/01/2017,08:00,194.3,21.1,2,0.2,0.3,,1.2,1,17.3,5.1,69.8,36.63,
03/01/2017,09:00,192.6,22.4,2.1,0.1,0.2,,1.5,1.1,16.1,5.3,65.2,38.93,
03/01/2017,10:00,185.6,23.6,2.3,0.1,0.2,,1.7,1.3,18.8,5.7,62.2,38.96,
03/01/2017,11:00,173.8,24.1,2.1,0.1,0.1,,1.7,1.5,19.6,5.5,61.1,42.36,
03/01/2017,12:00,162.6,24.7,1.7,0.2,0.2,,1.7,1.6,20.7,4.6,60.5,45.66,
03/01/2017,13:00,159.8,24.9,1.7,0.1,0.2,,1.8,1.7,23.7,9.6,61.1,46.6,
