,EARLWOOD PM2.5 1h average [µg/m³]
EARLWOOD PM2.5 1h average [µg/m³],1.0
EARLWOOD PM10 1h average [µg/m³],0.597985217883835
EARLWOOD NO 1h average [pphm],0.4941047157683359
EARLWOOD NO2 1h average [pphm],0.41228257207442687
EARLWOOD HUMID 1h average [%],0.17727354179561852
EARLWOOD SD1 1h average [°],0.17466258222089426
EARLWOOD WDR 1h average [°],0.09771693363302791
EARLWOOD OZONE 1h average [pphm],-0.19420715203677014
EARLWOOD TEMP 1h average [°C],-0.1954262841554873
EARLWOOD OZONE 4h rolling average [pphm],-0.2057408007167916
EARLWOOD WSP 1h average [m/s],-0.2145075831696804
